Term, Frequency
variety, 81

verifiable, 4
veritable, 1


vibrant, 7


victory, 15
viewable, 2
vigilance, 2
vigilant, 4
virtue, 11


visionary, 12

vivid, 1
vouch, 1

warm, 85
warmer, 8

warmly, 1
warmth, 2
wealthy, 12
welcome, 136
well, 1107



well-being, 1

well-connected, 1
well-educated, 1


well-intentioned, 1
well-known, 12



well-positioned, 2
well-received, 1
well-regarded, 1





wholeheartedly, 1
wholesome, 6



willing, 241
willingly, 2
willingness, 69
win, 207
windfall, 104

winner, 17
winners, 61
winning, 43
wins, 17
wisdom, 11
wise, 49
wisely, 4
witty, 4
won, 504
wonder, 62
wonderful, 53
wonderfully, 6


wonders, 19
wondrous, 2
woo, 11
work, 1635
workable, 17
worked, 240
works, 316
world-famous, 7
worth, 284

worthiness, 8
worthwhile, 22
worthy, 12
wow, 8
wowed, 1



youthful, 2
zeal, 3

zest, 2



abnormal, 3
abolish, 2





aborted, 3


abrasive, 1
abrupt, 2
abruptly, 4

absence, 94

absentee, 2
absurd, 8
absurdity, 1


abuse, 41
abused, 14
abuses, 2
abusive, 7






accusation, 8
accusations, 24
accuse, 4
accuses, 5
accusing, 17




ache, 1

aches, 2

aching, 1



acrimonious, 2


adamant, 9
adamantly, 8

addicted, 1






admonition, 5





adversary, 4
adverse, 39
adversity, 3




afraid, 41
aggravate, 1

aggravation, 2

aggressive, 83



aggrieved, 1

aghast, 1


agonizing, 4


aground, 3

ailing, 15

aimless, 1
alarm, 14
alarmed, 6
alarming, 2

alienate, 2


allegation, 6
allegations, 77
allege, 17
allergic, 2
allergies, 1
allergy, 5



ambiguous, 1
ambivalence, 2
ambivalent, 1
ambush, 2
amiss, 1
amputate, 2





anger, 19
angrily, 2

angry, 24
anguish, 1



annoy, 3
annoyance, 3

annoyed, 2
annoying, 7



anomaly, 6



antagonize, 2
anti-, 2












anxiety, 5
anxious, 47
anxiously, 4

apathetic, 2

apathy, 1
apocalypse, 1






appalling, 2

apprehension, 5
apprehensions, 3
apprehensive, 4

arbitrary, 5
arcane, 2

arduous, 3



arrogant, 1

ashamed, 1






aspersions, 1



assault, 22




atrocities, 1


attack, 55
attacks, 35



audacity, 1



autocrat, 1

avalanche, 4

avaricious, 1


averse, 3
aversion, 2

awful, 3
awfully, 1

awkward, 6
awkwardness, 1
ax, 1








backbiting, 5
backward, 8



bad, 269
badly, 19



baffling, 1
bait, 1
balk, 4


bane, 1


bankrupt, 32






barren, 1
baseless, 2
bash, 1
bashed, 4
bashful, 1
bashing, 2


battered, 6


bearish, 41




beg, 7


begging, 8


belated, 10

belie, 1


belittling, 1


belligerent, 1

bemoan, 1


bent, 2
berate, 2


bereft, 1


beset, 2



betray, 2
betrayal, 1





beware, 6






bias, 27
biased, 6
biases, 1

bickering, 3



bitch, 18

biting, 3

bitter, 20


bizarre, 2




blame, 119

bland, 15




blasted, 21
blatant, 2
blatantly, 3

bleak, 14


bleed, 3
bleeding, 9
bleeds, 1

blind, 21
blinding, 1



blistering, 1
bloated, 3




bloody, 1

blow, 39
blunder, 1

blunders, 4
blunt, 10
blur, 2








bogus, 2
boil, 17
boiling, 2
boisterous, 4
bomb, 11
bombard, 1


bondage, 1

bore, 1
bored, 6
boredom, 1

boring, 9

bother, 22
bothered, 7
bothering, 4
bothers, 8
bothersome, 1

boycott, 5









brazen, 1


breach, 65
break, 97


breakdown, 30
breaking, 81
breaks, 23
breakup, 4
breakups, 1




broke, 25
broken, 43




bruised, 1



brutal, 7








bs, 6
buckle, 3
bug, 2
bugging, 1

bugs, 4






bullies, 2
bullshit, 1

bully, 4
bullying, 4

bum, 1
bump, 2
bumped, 2
bumping, 2

bumps, 5
bumpy, 3


bungling, 2

burden, 131
burdensome, 3

burn, 46
burned, 14
burning, 33
burns, 21
bust, 7
busts, 3

butcher, 4


byzantine, 1


calamitous, 2

calamity, 1
callous, 3






cancer, 19
cancerous, 1







careless, 1
carelessness, 1

carnage, 1


cash-strapped, 22


casualty, 2




catastrophe, 2

catastrophic, 6




cautionary, 1
cave, 1
censure, 4



challenging, 28
chaos, 12
chaotic, 13

chastise, 1



cheap, 73

cheaply, 6



cheating, 1






chill, 10
chilly, 6

choke, 2

choppy, 14
chore, 1
chronic, 9

clamor, 2

clash, 15




clogged, 3

cloud, 24
clouding, 1
cloudy, 19

clumsy, 6






cold, 63

collapse, 13

collusion, 7




commonplace, 8



complain, 23
complained, 37
complaining, 12
complains, 3
complaint, 62
complaints, 45
complex, 128
complicated, 28
complication, 11



concede, 6
conceded, 18




concern, 195
concerned, 211
concerns, 244
concession, 22
concessions, 25
condemn, 5

condemnation, 6
condemned, 6





confess, 7
confession, 2

confined, 12
conflict, 118
conflicted, 5
conflicting, 15
conflicts, 38



confront, 6
confrontation, 8
confrontational, 4
confuse, 7
confused, 23

confusing, 27
confusion, 62

congested, 3
congestion, 51
cons, 3

conservative, 38

conspicuously, 3

conspiracy, 21

conspiratorial, 2
conspire, 3



contaminated, 4


contamination, 21
contempt, 20



contend, 22
contention, 32
contentious, 38


contradict, 4
contradiction, 2
contradictory, 6



contrived, 8
controversial, 71
controversy, 84
convoluted, 2
corrode, 1



corrupt, 10
corrupted, 2

corruption, 14


costlier, 3
costly, 43
counter-productive, 3
counterproductive, 16



cowardly, 2

crack, 82

cracks, 3


crafty, 1




crap, 14


crash, 13
crashed, 6
crashes, 2
crashing, 4



craze, 1

craziness, 3
crazy, 18




creep, 1
creeping, 4

creepy, 1
crept, 3
crime, 29
criminal, 142
cringe, 1


cripple, 2
crippled, 7

crippling, 5
crisis, 708
critic, 15
critical, 238
criticism, 51
criticisms, 12
criticize, 20
criticized, 89
criticizing, 12
critics, 93

crook, 3


crowded, 14

crude, 201
cruel, 1

cruelest, 1



cruelty, 1


crummy, 1



crush, 1
crushed, 2
crushing, 4
cry, 8

culprit, 5
cumbersome, 2






curt, 33



cynical, 5
cynicism, 3

damage, 108
damaged, 37
damages, 74
damaging, 7
damn, 16



damned, 4

damper, 1
danger, 33
dangerous, 37

dark, 64
darken, 4
darkened, 8
darker, 3
darkness, 7



daunting, 1




dead, 82
deadbeat, 2
deadlock, 3
deadly, 1

deaf, 4
dearth, 6
death, 65
debacle, 4






debauchery, 1

debilitating, 2

debt, 321
debts, 48

decadent, 2


deceit, 3








deceptive, 5
deceptively, 1

decline, 92
declines, 15
declining, 54

decrepit, 3


defamation, 6

defamatory, 1

defect, 2
defective, 5
defects, 2
defensive, 15
defiance, 1


deficiencies, 15
deficiency, 25
deficient, 9





defunct, 3
defy, 6



degradation, 1
degrade, 6









delay, 158
delayed, 62
delaying, 26
delays, 62






deluge, 1





demise, 10
demolish, 1



demonize, 6


demonizing, 1



denial, 22
denied, 119
denies, 22

denounce, 1
dense, 9
dent, 6
dented, 1




deny, 40
denying, 27
deplete, 2









depress, 3
depressed, 28
depressing, 4

depression, 5

deprive, 1
deprived, 10





derogatory, 6

desert, 18







despair, 2


desperate, 23
desperately, 23
desperation, 4








despondent, 1






destitute, 3

destroy, 106
destroyer, 1
destruction, 24
destructive, 7

deter, 15
deteriorate, 4
deteriorating, 11
deterioration, 8
deterrent, 7








detracting, 2


detriment, 1
detrimental, 5
devastate, 1
devastated, 1

devastating, 5


deviate, 3
deviation, 2
devil, 2




devious, 2


devoid, 1







dick, 128
dictator, 1

die, 17
die-hard, 5
died, 28
dies, 6
difficult, 221
difficulties, 39
difficulty, 38

dilapidated, 1
dilemma, 5

dim, 13

din, 1
ding, 6
dings, 1

dire, 26


dirt, 18



dirty, 28

disabled, 14

disadvantage, 3
disadvantaged, 4



disaffected, 1

disagree, 17


disagreed, 17

disagreement, 13
disagrees, 6
disallow, 2



disappoint, 1
disappointed, 20
disappointing, 7

disappointment, 4



disapproval, 1
disapprove, 12

disarm, 3
disarray, 2
disaster, 28

disastrous, 16
disastrously, 4













disconcerting, 1




discontent, 3


discontinued, 6


discord, 2



discourage, 31

discouraging, 10




discredit, 9

discriminate, 2
discrimination, 26
discriminatory, 3
disdain, 3




disgrace, 1
disgraced, 2









disgusting, 3
disgustingly, 2













disinclination, 1
disinclined, 1
disingenuous, 3














dismal, 3


dismay, 7
dismayed, 4
dismaying, 2







disorder, 3

disorderly, 2




disparage, 1




dispirited, 2


displace, 2
displaced, 8

displeased, 1

displeasure, 1
disproportionate, 7
disprove, 1

dispute, 284
disputed, 33
disquiet, 1



disregard, 22



disrespect, 1






disrupt, 8
disruption, 27
disruptive, 5

dissapointed, 1


dissatisfaction, 10

dissatisfied, 12






dissension, 1
dissent, 15
dissenter, 1

disservice, 1


dissident, 1




dissolution, 1
dissonance, 1


dissuade, 4


distaste, 3


distort, 7
distorted, 8


distract, 2
distracting, 1
distraction, 5



distress, 7
distressed, 2


distrust, 3
distrustful, 2

disturb, 4
disturbance, 4
disturbed, 2
disturbing, 8



divergent, 4
divisive, 2







dogged, 5






doom, 1
doomed, 1
doomsday, 2
dope, 1
doubt, 72
doubtful, 14

doubts, 26



downbeat, 1


downfall, 1

downgrade, 16


downhill, 1
downside, 41

downturn, 20
downturns, 3

draconian, 3

drag, 13
dragged, 8
dragging, 6


drain, 23
drained, 16
draining, 4
drains, 1
drastic, 13
drastically, 6
drawback, 7
drawbacks, 1
dread, 1



