Term, Frequency
hallowed,1
,
handily,1
hands-down,3
handsome,1
,
handy,5
,
happily,1
happiness,1
happy,136
,
,
hardy,13
harmless,1
,
,
,
,
,
,
,
healthy,6
,
,
heartfelt,3
,
,
heaven,2
,
helped,31
helpful,46
helping,52
hero,1
heroic,1
,
,
,
,
,
,
,
holy,2
,
honest,4
honesty,1
honor,28
honorable,5
honored,5
honoring,2
,
hopeful,3
,
hot,41
,
,
hottest,2
hug,2
,
humble,3
,
humor,2
humorous,1
,
,
,
ideal,10
,
ideally,2
,
,
,
,
illuminate,1
,
,
,
illustrious,1
,
,
,
,
,
immense,1
impartial,1
,
,
,
,
,
important,177
,
impressed,7
,
impressive,6
,
,
improve,76
improved,17
improvement,9
improvements,27
improves,3
improving,33
incredible,7
incredibly,13
,
individualized,2
,
,
,
,
,
inexpensive,6
,
,
,
influential,7
,
,
,
,
,
,
innovation,1
innovative,28
,
insightful,1
,
,
inspirational,1
inspire,1
,
instantly,3
,
instrumental,7
integral,13
integrated,24
intelligence,27
intelligent,9
,
interesting,25
interests,63
,
intimate,1
,
,
intriguing,3
,
intuitive,1
invaluable,6
,
,
invigorate,2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
jolly,2
,
joy,3
,
,
,
,
,
,
,
,
,
,
,
keen,9
keenly,1
,
,
,
kindly,14
,
knowledgeable,3
kudos,1
,
,
,
,
,
,
,
,
,
lead,117
leading,56
leads,10
,
led,40
legendary,1
leverage,24
,
,
liberation,1
,
,
,
lighter,2
,
like,1240
liked,20
likes,14
liking,1
,
lively,1
logical,4
,
,
,
love,85
loved,7
,
lovely,4
,
loves,5
loving,2
low-cost,11
,
low-priced,1
,
lower-priced,1
loyal,4
,
,
,
luck,39
,
,
,
lucky,7
,
,
,
,
,
,
,
luxurious,1
,
luxury,10
,
magic,4
magical,1
,
,
,
,
,
,
,
manageable,1
,
,
,
,
,
,
,
,
,
master,347
,
,
,
,
masters,17
,
,
mature,1
,
maturity,4
meaningful,8
memorable,2
,
,
mercy,11
merit,5
,
,
,
,
,
,
,
,
,
,
meticulous,1
,
mightily,1
mighty,3
,
miracle,3
miracles,1
miraculous,1
,
,
modern,16
modest,7
,
,
,
monumentally,3
,
,
,
,
neat,3
,
,
nice,58
,
,
,
nifty,1
,
noble,1
,
,
,
,
,
noteworthy,2
,
,
,
,
,
oasis,5
obsession,3
,
,
openly,2
openness,1
optimal,10
optimism,7
optimistic,15
,
orderly,2
,
,
,
,
,
,
,
,
,
,
outstanding,56
,
,
,
,
,
,
overtaken,1
,
,
,
overture,1
,
painless,1
,
,
,
,
,
,
,
,
,
paramount,14
pardon,6
passion,2
passionate,1
,
patience,10
patient,13
,
,
,
peace,13
,
peaceful,1
peacefully,1
,
,
,
pep,1
,
,
,
,
perfect,18
,
perfectly,2
,
,
,
,
personalized,17
phenomenal,2
phenomenally,4
,
,
pinnacle,6
,
,
pleasant,1
,
pleased,45
,
,
,
,
,
pleasure,30
plentiful,2
,
,
,
,
,
,
,
poised,8
polished,4
,
,
popular,18
portable,5
,
positive,47
positively,5
positives,1
powerful,39
powerfully,1
praise,2
,
,
pre-eminent,2
precious,8
precise,5
,
,
prefer,62
preferable,13
preferably,4
prefered,1
,
,
prefers,16
premier,19
,
prestigious,3
,
pretty,95
,
pride,2
,
privilege,26
privileged,96
prize,3
proactive,13
,
,
prodigious,1
,
,
productive,1
,
,
,
profound,2
profoundly,3
,
,
progress,96
,
,
prominence,1
prominent,8
promise,21
promised,29
promises,10
promising,14
,
prompt,20
promptly,27
proper,37
properly,22
,
,
pros,1
,
,
,
,
protect,51
protection,44
protective,6
proud,17
proven,8
,
providence,18
proving,5
prowess,1
,
prudent,14
,
,
pure,3
,
,
,
qualified,26
qualify,14
quicker,3
quiet,11
quieter,1
,
,
rapid,11
rapport,1
,
,
,
,
,
,
rational,1
,
reachable,1
,
readily,3
ready,148
,
,
realistic,12
,
reasonable,72
reasonably,22
,
,
reassure,4
receptive,9
reclaim,4
,
recommend,57
recommendation,28
recommendations,23
recommended,46
reconcile,3
reconciliation,3
,
recover,83
recovery,50
,
rectify,1
,
,
,
,
refine,2
refined,5
refinement,1
reform,35
reformed,2
reforming,1
reforms,23
refresh,2
refreshed,1
,
refund,12
,
regal,1
,
regard,59
,
,
,
,
,
,
relaxed,9
,
reliable,36
,
relief,59
,
remarkable,4
,
remedy,12
,
,
renaissance,3
renewed,20
,
,
,
reputable,2
reputation,13
resilient,1
,
,
,
,
,
respect,200
respectable,1
respectful,5
respectfully,4
respite,2
,
,
responsive,10
,
restored,2
restructure,24
restructured,8
restructuring,46
,
,
revelation,1
,
,
,
,
revitalize,2
,
revive,4
,
revolutionary,2
,
,
,
reward,6
rewarding,1
,
rich,48
richer,1
,
,
right,382
,
,
,
,
,
,
,
,
,
robust,9
,
,
,
,
romantic,3
,
,
,
,
rosy,4
safe,23
safely,2
,
,
saint,1
,
,
,
salute,7
,
,
satisfactory,8
satisfied,16
satisfies,1
satisfy,10
,
,
,
savings,28
,
savvy,1
scenic,1
seamless,5
seasoned,1
secure,39
,
selective,4
,
,
,
self-sufficiency,4
self-sufficient,1
sensation,1
,
,
,
sensible,4
,
sensitive,17
serene,1
,
sexy,1
sharp,11
,
,
,
,
shine,1
,
significant,183
silent,7
simpler,1
simplest,1
,
,
simplify,5
simplifying,1
sincere,3
sincerely,13
,
skill,2
skilled,2
,
,
slammin,1
,
,
smart,12
,
smartest,1
,
smile,2
smiles,1
,
,
,
smooth,3
,
,
,
smoothly,2
,
,
,
soft,10
,
,
,
,
solid,14
,
,
,
sophisticated,1
,
,
soundness,1
,
,
sparkling,2
spectacular,3
,
,
speedy,2
,
,
,
,
,
spiritual,9
,
,
,
spontaneous,1
sporty,2
,
,
stability,12
stabilize,14
stable,10
stainless,5
,
state-of-the-art,3
,
,
staunch,2
,
,
steadfast,2
,
,
,
,
steady,7
stellar,4
,
stimulate,3
stimulates,2
,
,
,
,
straightforward,4
streamlined,1
striking,5
,
striving,1
strong,93
stronger,6
strongest,6
stunned,1
stunning,3
,
,
,
,
,
,
,
,
,
,
,
subsidize,7
subsidized,3
,
subsidizing,4
substantive,9
succeed,12
succeeded,1
succeeding,8
,
,
success,34
successes,3
successful,62
successfully,23
suffice,5
,
,
sufficient,37
sufficiently,1
suitable,10
,
,
,
super,18
superb,1
,
superior,25
,
supple,2
support,347
supported,22
supporter,2
supporting,61
supportive,6
supports,23
,
supreme,31
,
,
,
,
,
,
survival,2
survivor,1
sustainability,1
sustainable,8
swank,1
,
,
swanky,2
sweeping,3
sweet,9
,
,
,
,
swift,3
,
talent,10
talented,3
talents,2
,
,
,
,
tempting,1
,
,
,
,
tender,4
,
terrific,7
,
thank,273
thankful,1
thinner,1
thoughtful,8
,
,
,
,
thrill,1
thrilled,4
,
,
,
thrive,2
thriving,1
,
,
,
,
,
timely,26
,
,
,
,
,
tolerable,1
toll-free,2
top,164
,
,
,
tops,3
tough,13
tougher,5
toughest,2
traction,3
,
,
transparent,10
treasure,3
,
,
,
,
,
triumphantly,2
,
,
,
,
,
trust,85
trusted,5
,
,
,
,
trusty,3
,
,
,
,
,
,
,
,
,
,
unbiased,2
,
,
,
,
,
,
,
,
,
,
,
unequivocally,1
,
unfettered,2
,
,
unlimited,12
unmatched,4
,
,
,
,
,
,
,
,
upbeat,1
,
,
upgraded,5
upheld,1
uphold,1
uplift,4
,
,
,
upscale,2
,
,
useful,53
user-friendly,1
,
,
,
valor,4
valuable,40
variety,35
,
,
,
,
versatility,1
vibrant,4
,
,
victory,5
,
,
,
virtue,5
,
,
,
,
,
,
,
warm,13
warmer,5
,
,
warmth,1
wealthy,1
welcome,50
well,405
,
,
,
well-being,2
,
,
,
,
,
,
well-known,1
well-made,1
,
,
,
,
well-regarded,1
,
well-run,2
,
,
,
,
,
,
,
,
willing,175
willingly,1
willingness,19
win,30
windfall,4
,
winner,1
winners,1
winning,9
wins,2
wisdom,4
wise,8
wisely,2
,
won,194
wonder,29
wonderful,18
,
,
,
,
,
,
work,705
workable,6
worked,111
works,141
world-famous,1
worth,70
,
worthiness,1
worthwhile,5
worthy,4
wow,3
,
,
,
,
,
,
,
zest,1
,
,
,
abnormal,1
abolish,2
,
,
,
,
,
,
,
,
,
,
abruptly,1
,
absence,7
,
,
absurd,2
,
,
,
abuse,4
abused,1
abuses,2
,
,
,
abyss,2
,
,
,
accusation,1
accusations,2
accuse,1
,
accusing,3
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
adamant,7
adamantly,2
,
,
,
,
,
,
,
admonishment,2
admonition,1
,
,
,
,
adversarial,6
adversary,1
adverse,18
,
,
,
,
,
afraid,4
aggravate,1
,
aggravation,2
,
aggressive,29
aggressiveness,1
,
,
,
,
,
,
,
,
,
,
,
,
ailing,7
,
aimless,1
alarm,2
alarmed,2
,
,
,
,
,
allegation,2
allegations,4
allege,2
,
allergies,2
,
,
,
ambiguity,27
ambiguous,28
,
,
,
,
,
,
,
,
,
anemic,1
anger,2
,
,
angry,2
,
,
,
,
,
,
,
,
annoying,2
,
,
,
anomaly,4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
antiquated,1
,
,
anxiety,3
anxious,21
anxiously,1
,
,
,
,
,
,
,
,
,
,
appalled,2
,
,
apprehension,3
,
,
,
arbitrary,2
arcane,2
,
arduous,2
,
,
,
arrogant,1
,
ashamed,1
,
,
,
,
,
,
,
,
,
,
assault,1
,
,
,
,
,
,
,
attack,6
attacks,3
,
,
,
audacity,1
,
,
,
,
,
,
,
,
,
,
,
,
,
awful,3
awfully,2
,
awkward,2
,
,
babble,1
,
,
,
,
,
,
,
,
backward,2
,
,
,
bad,91
badly,6
,
,
,
,
bait,3
balk,1
,
,
,
,
,
bankrupt,3
,
,
,
,
,
,
,
,
bash,2
,
,
,
,
,
battered,1
,
,
bearish,1
,
,
,
,
,
,
,
begging,1
,
,
belated,5
,
,
,
,
,
,
belligerence,1
,
,
,
,
,
bent,3
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
bias,2
biased,9
biases,1
,
,
,
,
,
,
,
,
,
,
,
,
bizarre,2
,
,
blackmail,1
blah,8
blame,37
,
bland,2
,
,
,
,
blasted,1
blatant,1
blatantly,2
blather,2
bleak,2
,
,
bleed,3
bleeding,7
,
,
blind,2
,
,
,
,
,
,
,
,
,
,
,
,
blow,11
blunder,1
,
,
blunt,2
blur,1
,
,
,
,
,
,
,
,
,
boil,1
boiling,8
boisterous,1
bomb,3
bombard,1
,
,
,
,
bore,8
bored,8
boredom,1
,
boring,2
,
bother,7
bothered,4
,
,
bothersome,2
,
,
,
,
,
,
,
,
,
brat,1
,
,
,
,
breach,16
break,61
,
,
breakdown,8
breaking,11
breaks,3
,
,
bribery,1
,
,
,
broke,20
broken,12
,
,
,
,
,
bruises,1
,
,
brutal,1
,
,
,
,
,
,
,
,
bs,22
,
bug,3
bugging,6
,
bugs,1
,
,
,
,
,
,
,
bullshit,5
,
,
,
,
,
bump,1
bumped,2
bumping,2
,
bumps,1
bumpy,1
,
,
,
,
burden,13
burdensome,1
,
burn,5
burned,9
burning,5
burns,13
bust,4
,
,
butcher,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
cancer,9
,
,
,
,
,
capriciously,3
,
,
,
,
caricature,1
,
,
,
cash-strapped,16
,
,
casualty,2
,
,
,
,
catastrophe,2
,
catastrophic,1
,
,
,
,
,
cave,3
,
chafe,3
chaff,1
chagrin,1
challenging,9
chaos,7
,
,
,
,
,
,
cheap,12
,
cheaply,1
,
,
,
,
,
,
,
,
,
,
chill,1
chilly,1
,
,
,
choppy,1
,
chronic,4
,
,
,
,
,
,
,
,
,
,
cloud,4
,
,
clueless,1
,
,
,
,
coerce,4
,
,
cold,20
,
collapse,3
collude,1
collusion,1
,
,
,
,
,
,
,
,
complain,7
complained,15
complaining,5
,
complaint,49
complaints,17
complex,46
complicated,33
,
,
,
,
concede,4
conceded,2
,
,
,
,
concern,91
concerned,98
concerns,155
concession,9
concessions,7
condemn,1
,
condemnation,1
,
condemns,1
,
,
,
,
confess,1
,
,
confined,3
conflict,32
conflicted,3
conflicting,6
conflicts,31
,
,
,
,
confrontation,2
confrontational,1
confuse,4
confused,10
,
confusing,4
confusion,10
,
congested,1
congestion,42
cons,1
,
conservative,9
,
,
,
conspiracy,5
,
,
,
consternation,1
,
,
contaminated,3
,
,
contamination,13
contempt,2
,
,
,
contend,6
,
contentious,1
,
,
,
contradiction,1
,
,
,
,
,
controversial,13
controversy,9
,
,
,
,
,
corrupt,1
corrupted,1
,
corruption,3
,
,
,
costly,14
,
,
,
,
,
,
,
crack,23
,
cracks,3
,
,
,
cramp,2
,
,
,
crap,2
crappy,2
,
crash,7
crashed,1
,
crashing,2
,
,
,
,
,
,
crazy,13
,
,
,
,
,
,
,
,
crept,1
crime,5
criminal,2
,
,
,
,
crippled,3
,
crippling,1
crisis,184
critic,2
critical,80
criticism,10
,
criticize,1
criticized,11
criticizing,1
critics,24
,
crook,1
,
,
crowded,1
,
crude,40
,
,
,
,
,
,
,
,
,
,
,
,
,
crush,1
crushed,1
,
cry,7
,
,
,
,
,
,
,
,
,
curt,11
,
,
,
cynical,1
cynicism,1
,
damage,29
damaged,3
damages,32
,
damn,3
,
,
,
damned,4
,
,
danger,9
dangerous,6
,
dark,13
,
,
,
,
,
,
,
,
,
,
,
,
dead,19
,
,
,
,
deaf,3
,
death,21
debacle,2
,
,
,
debatable,1
,
,
,
,
,
,
debt,231
debts,32
,
,
,
,
,
deceitful,2
,
,
,
,
,
,
,
deceptive,1
,
,
decline,18
declines,13
declining,4
,
decrepit,1
,
,
,
,
,
,
defect,3
,
,
,
,
,
,
deficiencies,1
deficiency,10
deficient,3
,
,
,
,
,
defunct,4
,
,
,
,
degradation,8
,
,
,
,
,
,
,
dejected,2
,
,
delay,64
delayed,14
delaying,2
delays,27
,
delinquent,3
,
,
,
,
,
,
,
,
,
,
demise,5
,
,
,
,
,
demonized,1
,
,
,
,
,
denial,1
denied,18
denies,9
,
,
dense,4
dent,3
,
,
,
,
,
deny,4
denying,4
,
,
,
,
,
,
,
,
,
,
,
depressed,6
depressing,2
depressingly,1
depression,1
,
,
,
,
,
,
,
,
,
,
desert,11
,
,
,
,
,
,
,
,
,
,
desperate,14
desperately,5
desperation,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
destroy,51
,
destruction,4
destructive,2
,
deter,3
,
deteriorating,4
deterioration,9
,
,
,
,
,
,
,
,
,
,
,
,
,
detrimental,3
,
devastated,1
,
,
,
,
deviate,1
deviation,2
devil,3
,
,
,
,
,
,
,
devoid,2
,
,
,
,
,
,
,
dick,17
,
,
die,9
,
died,19
,
difficult,106
difficulties,20
difficulty,14
,
,
dilemma,2
,
dim,2
,
,
ding,2
,
,
dire,11
,
,
dirt,4
,
,
,
dirty,10
disable,1
disabled,3
,
disadvantage,4
disadvantaged,1
,
,
,
,
,
disagree,8
,
,
disagreed,6
disagreeing,1
disagreement,10
,
,
,
,
,
,
disappointed,8
,
,
,
,
disappoints,1
,
,
disapprove,3
,
,
,
disaster,7
,
disastrous,1
,
disavow,3
,
,
,
,
,
,
,
,
discomfort,2
,
,
,
disconcerting,1
,
,
,
,
,
,
,
discontinued,1
,
,
,
,
,
,
discourage,6
,
discouraging,5
,
,
,
,
,
,
discriminate,1
discrimination,3
discriminatory,3
disdain,1
,
,
,
,
,
,
,
,
,
disgruntled,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
disinterested,2
dislike,1
,
,
,
,
,
,
,
,
,
dismay,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
displeased,1
,
displeasure,1
,
,
,
dispute,56
disputed,6
,
,
,
,
disregard,11
,
,
,
disrespect,1
,
,
,
,
,
,
,
disruption,4
disruptive,2
,
,
dissappointed,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
dissolution,12
,
,
,
,
,
,
,
,
,
distort,1
,
,
distorts,1
,
,
distraction,1
,
,
,
distress,1
distressed,4
distressing,1
,
,
,
,
disturb,2
disturbance,1
,
disturbing,2
,
,
,
,
,
,
,
,
,
,
,
,
dogged,1
doggedly,1
,
,
,
,
,
,
,
,
,
doubt,20
doubtful,3
,
doubts,12
,
,
,
,
,
downer,1
,
,
downgrade,7
,
,
downhill,1
downside,4
,
,
,
,
,
,
drag,5
dragged,5
dragging,1
,
,
drain,3
,
draining,1
drains,1
,
drastically,4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
drop-out,1
,
,
,
drought,4
,
drunk,1
,
,
,
,
,
,
dull,1
,
dumb,3
,
dump,2
dumped,2
dumping,4
dumps,1
,
,
,
,
dust,3
,
dwindling,1
dying,1
,
,
,
,
,
,
,
,
,
,
egregious,1
,
,
elimination,10
,
,
embarrass,2
,
,
embarrassment,1
embattled,5
,
,
,
emergency,136
,
,
,
,
encroachment,1
,
enemies,1
enemy,1
,
,
,
,
enjoin,1
,
,
enraged,2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
erratic,2
,
erroneous,1
,
error,33
errors,13
,
,
,
,
,
,
,
,
,
,
,
exacerbate,1
,
,
,
,
,
,
,
,
,
exasperation,1
excessive,6
,
exclusion,2
,
excruciating,1
,
excuse,5
excuses,13
,
exhaust,21
exhausted,3
exhaustion,2
exhausts,1
,
,
,
,
,
,
expel,1
expensive,37
expire,20
expired,5
explode,1
exploit,3
exploitation,1
explosive,1
,
,
,
,
,
,
,
,
extortion,1
,
,
,
,
extremism,1
,
,
,
,
,
fabrication,2
,
,
fail,15
failed,64
failing,15
fails,23
failure,48
failures,1
,
,
,
fake,1
fall,49
,
,
,
,
,
fallen,15
falling,16
fallout,3
falls,9
FALSE,4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
fat,5
,
,
fatal,2
,
,
fatally,2
,
,
,
,
,
,
,
,
,
,
,
,
fault,4
faults,1
faulty,2
,
,
fear,22
,
,
fears,9
,
,
,
,
,
,
,
fell,25
,
,
,
,
,
fever,6
,
,
,
,
,
,
,
,
fictitious,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
flagrantly,4
flair,26
,
flak,1
,
,
,
,
,
flare,1
,
,
,
,
,
flaw,2
flawed,13
flaws,4
,
,
,
,
,
,
,
flicker,1
,
,
,
,
,
,
,
,
,
,
,
,
,
fool,1
,
,
foolish,3
,
,
forbid,3
forbidden,1
forbidding,2
,
,
,
forfeit,6
,
,
,
,
,
,
,
,
,
foul,1
,
,
fractious,1
,
,
fragile,1
fragmented,2
,
,
frantically,3
,
fraud,4
fraudulent,3
fraught,1
,
frazzled,2
freak,8
,
,
,
,
freeze,31
freezes,2
freezing,1
frenetic,4
,
,
,
,
,
,
friction,1
,
,
,
frigging,1
,
,
frightening,1
,
,
,
,
frost,3
,
froze,5
frozen,11
,
,
frustrate,2
frustrated,9
,
frustrating,7
,
frustration,6
frustrations,3
fuck,2
,
,
fugitive,1
full-blown,2
,
,
,
,
,
funky,2
,
funny,12
furious,3
,
,
,
fuss,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
glitches,3
,
,
gloomy,2
,
,
,
,
,
,
,
,
,
goon,1
gossip,1
,
,
,
,
,
,
,
,
,
,
greedy,1
grief,2
,
,
,
,
,
,
grim,2
,
grind,4
,
,
,
,
gross,50
,
,
,
,
,
,
,
,
,
,
grudgingly,1
,
,
,
grumble,3
,
,
,
,
,
,
,
,
guilty,4
,
,
gutter,3
,
hacks,1
,
,
,
,
,
,
,
hamper,3
hampered,1
,
hang,26
,
,
,
,
,
harassed,3
harasses,1
harassment,44
,
,
hard,168
,
,
,
,
,
,
,
,
,
,
,
hardships,4
harm,9
,
harmful,1
,
,
,
,
,
harsh,3
,
,
hassle,3
,
,
haste,1
hastily,2
,
hate,25
,
,
,
,
,
,
,
,
,
,
,
,
,
havoc,5
,
,
,
hazardous,3
,
,
,
headache,1
headaches,2
,
,
,
,
heathen,4
heavy-handed,1
,
heck,2
,
,
,
,
hedge,25
,
,
hefty,4
,
,
,
,
hell,20
,
,
,
,
,
,
heresy,1
,
,
hesitant,3
,
,
hideously,1
,
high-priced,2
,
hinder,5
,
,
hissed,1
,
,
,
,
,
hogs,2
hollow,2
,
,
,
,
,
,
,
,
,
horrible,4
,
horrific,1
horrified,2
,
,
,
,
hostage,4
hostile,5
,
hostility,5
,
,
,
,
,
,
,
,
,
,
,
humming,1
hung,3
hurt,24
,
,
hurting,2
hurts,4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
idle,5
,
,
,
,
,
,
ignore,8
ill-advised,2
ill-conceived,2
,
,
,
,
,
,
,
,
,
,
,
,
,
illegal,7
,
,
,
,
illness,3
,
,
,
,
illusions,2
,
,
imbalance,19
,
,
,
,
,
,
,
,
,
,
,
,
,
,
impair,2
impaired,2
,
,
,
,
,
,
impede,15
impediment,5
impending,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
implication,3
implode,1
,
,
,
,
,
impose,24
,
imposing,6
