Term, Frequency
marvelous, 1



master, 552


masterpiece, 1

masters, 43


mature, 2

maturity, 7
meaningful, 10
memorable, 3


mercy, 7
merit, 5




merry, 1








mighty, 3




miraculously, 1

modern, 6
modest, 9


monumental, 4


motivated, 5


neat, 10

neatly, 1
nice, 88
nicely, 6
nicer, 4








notably, 5
noteworthy, 3





oasis, 16


obtainable, 1
openly, 1

optimal, 1
optimism, 6
optimistic, 20

orderly, 3

outdo, 1








outstanding, 92

outstrip, 2


overjoyed, 1



overtaking, 1











panoramic, 2
paradise, 2
paramount, 6
pardon, 6
passion, 1
passionate, 2

patience, 17
patient, 11



peace, 34

peaceful, 1




pep, 6




perfect, 37
perfection, 7
perfectly, 11
permissible, 3





phenomenally, 1


pinnacle, 1
playful, 2

pleasant, 7
pleasantly, 4
pleased, 63





pleasure, 19
plentiful, 2





poignant, 1

poised, 9
polished, 1
polite, 1

popular, 31
portable, 10

positive, 71
positively, 7

powerful, 30
powerfully, 1
praise, 1

praising, 6

precious, 3
precise, 13
precisely, 11

prefer, 59
preferable, 9
preferably, 7


preferring, 4
prefers, 10
premier, 18

prestigious, 1

pretty, 118
priceless, 4
pride, 4

privilege, 14
privileged, 171
prize, 6
proactive, 3





productive, 11
productively, 1
proficient, 1

profound, 1



progress, 100
progressive, 2


prominent, 4
promise, 37
promised, 32
promises, 21
promising, 13
promoter, 1
prompt, 24
promptly, 22
proper, 28
properly, 29


pros, 2
prosper, 1
prosperity, 1
prosperous, 3

protect, 77
protection, 60
protective, 1
proud, 21
proven, 27
proves, 1

proving, 8

prudence, 2
prudent, 21


pure, 12



qualified, 45
qualify, 34
quicker, 8
quiet, 18
quieter, 1


rapid, 14
rapport, 1






rational, 5

reachable, 1

readily, 5
ready, 172
reaffirm, 1
reaffirmation, 1
realistic, 13

reasonable, 123
reasonably, 22

reassurance, 2
reassure, 8
receptive, 5


recommend, 72
recommendation, 41
recommendations, 35
recommended, 57
reconcile, 5
reconciliation, 3
record-setting, 2
recover, 56
recovery, 54

rectify, 1

redeem, 1
redeeming, 1

refine, 4
refined, 11
refinement, 1
reform, 60

reforming, 3
reforms, 4
refresh, 2
refreshed, 2
refreshing, 4
refund, 116
refunded, 8
regal, 3

regard, 44






relaxed, 7

reliable, 36

relief, 64

remarkable, 1
remarkably, 1
remedy, 15


renaissance, 6
renewed, 11

renowned, 2


reputation, 28



resounding, 1


respect, 262

respectful, 1
respectfully, 4
respite, 1


responsive, 30

restored, 3
restructure, 22
restructured, 13
restructuring, 86


revelation, 3


reverent, 1


revival, 1
revive, 2


revolutionize, 3
revolutionized, 1

reward, 8
rewarding, 3

rich, 70



right, 494

righteous, 1






risk-free, 1
robust, 13




romantic, 5




rosy, 6
safe, 33
safely, 1






salute, 3
sane, 1

satisfactory, 10
satisfied, 12
satisfies, 1
satisfy, 36
satisfying, 7

saver, 1
savings, 94
savior, 2
savvy, 3
scenic, 4
seamless, 6
seasoned, 2
secure, 98

selective, 6








sensations, 1
sensible, 1

sensitive, 17
serene, 2


sharp, 20

sharpest, 3




significant, 181
silent, 10
simpler, 4
simplest, 7
simplified, 2
simplifies, 3
simplify, 4
simplifying, 2
sincere, 3
sincerely, 2

skill, 2
skilled, 1




slick, 1
smart, 10
smarter, 2
smartest, 2

smile, 28
smiles, 2
smiling, 2


smooth, 14



smoothly, 3

snazzy, 1

soft, 21

solace, 1


solid, 21



sophisticated, 16





sparkling, 5
spectacular, 4


speedy, 5






splendid, 1


spontaneous, 2



stability, 34
stabilize, 24
stable, 15
stainless, 2

state-of-the-art, 1
stately, 1

staunch, 1
staunchly, 1

steadfast, 3
steadfastly, 2



steady, 10
stellar, 2

stimulate, 3




straighten, 3
straightforward, 5
streamlined, 2
striking, 5

striving, 2
strong, 131
stronger, 10
strongest, 13
stunned, 2
stunning, 2
stunningly, 1










subsidize, 1
subsidized, 3

subsidizing, 1
substantive, 39
succeed, 7
succeeded, 9
succeeding, 1


success, 61
successes, 2
successful, 54
successfully, 24



sufficient, 42
sufficiently, 8
suitable, 8



super, 13
superb, 1
superbly, 1
superior, 23


support, 449
supported, 31
supporter, 4
supporting, 73
supportive, 15
supports, 42

supreme, 191




surpass, 5
surreal, 3
survival, 4
survivor, 1
sustainability, 5
sustainable, 19
swank, 8



sweeping, 7
sweet, 31



sweetness, 1
swift, 7

talent, 9
talented, 6
talents, 1



tempt, 1
tempting, 2




tender, 6

terrific, 10

thank, 435
thankful, 1

thoughtful, 4



thrifty, 1
thrill, 3
thrilled, 4
thrilling, 2


thrive, 3
thriving, 1



tidy, 2

timely, 37





tolerable, 2
toll-free, 1
top, 209



tops, 2
tough, 30
tougher, 6
toughest, 1



transparent, 14
treasure, 1


triumph, 1








trust, 45
trusted, 3
trusting, 2










unabashedly, 1




unbound, 6

unconditional, 9
undamaged, 1

understandable, 5




unequivocal, 1
unequivocally, 5
unfazed, 3
unfettered, 4


unlimited, 14
unmatched, 4




unrestricted, 1


unwavering, 4



upgraded, 11
upheld, 1
uphold, 2





usable, 2

useful, 67
user-friendly, 1




valuable, 21
variety, 41


veritable, 1

versatility, 1
vibrant, 1


victory, 7



virtue, 4


visionary, 16


vouch, 5

warm, 28
warmer, 2

warmly, 1

wealthy, 3
welcome, 57
well, 467



well-being, 1



well-established, 3
well-informed, 1

well-known, 8



well-positioned, 2
well-received, 1











willing, 128
willingly, 1
willingness, 10
win, 46
windfall, 2

winner, 16
winners, 8
winning, 16
wins, 9
wisdom, 2
wise, 17
wisely, 4
witty, 1
won, 275
wonder, 45
wonderful, 17



wonders, 3

woo, 4
work, 791
workable, 10
worked, 146
works, 169
world-famous, 1
worth, 125

worthiness, 5
worthwhile, 1
worthy, 3
wow, 1
wowed, 1




zeal, 2





abnormal, 1
abolish, 2









abrupt, 1


absence, 28


absurd, 1
absurdity, 1
absurdly, 1

abuse, 11
abused, 2
abuses, 21
abusive, 3



accidental, 1



accusations, 20
accuse, 11
accuses, 1
accusing, 6















adamant, 2
adamantly, 11
addict, 2

addicting, 1





admonition, 2




adversarial, 1

adverse, 27





afraid, 23
aggravate, 2



aggressive, 51



aggrieved, 1





agonizingly, 1



ailing, 6
ailment, 2

alarm, 4
alarmed, 1
alarming, 3
alarmingly, 2



allegation, 8
allegations, 9
allege, 2
allergic, 1




ambiguity, 1
ambiguous, 2









anemic, 1
anger, 2
angrily, 2

angry, 24




annoy, 1
annoyance, 1

annoyed, 2
annoying, 2



anomaly, 2




anti-, 1









antiquated, 3


anxiety, 7
anxious, 15
anxiously, 3

apathetic, 1


apocalypse, 1


apologists, 16


appalled, 1






arbitrary, 2
arcane, 5

arduous, 1


arrogance, 1










assail, 2


assault, 6







attack, 14







authoritarian, 1










awful, 3
awfully, 1

awkward, 7


babble, 1







backbiting, 1
backward, 5



bad, 119
badly, 11





balk, 4





bankrupt, 19








bash, 14



bastard, 1

battered, 3


bearish, 18




beg, 2


begging, 4




belie, 6







bemoan, 2


bent, 3










betray, 1
betrayal, 1












bias, 11
biased, 6
biases, 1

bickering, 1





biting, 2

bitter, 6
bitterly, 3





blah, 4
blame, 36

bland, 2




blasted, 7
blatant, 1


bleak, 3


bleed, 2
bleeding, 2


blind, 6





bloated, 2




bloody, 3

blow, 14
blunder, 3


blunt, 1









bogus, 2
boil, 3


bomb, 1
bombard, 6




bore, 1
bored, 1




bother, 10
bothered, 1
bothering, 1
bothers, 3


boycott, 1












breach, 25
break, 84


breakdown, 8
breaking, 19
breaks, 14
breakup, 1

bribery, 1



broke, 15
broken, 30




bruised, 3











brutish, 1
bs, 3

bug, 1
bugging, 2















bump, 4
bumped, 1
bumping, 2

bumps, 2



bungling, 2

burden, 26
burdensome, 22

burn, 16
burned, 4
burning, 4
burns, 15
bust, 6
busts, 4



buzzing, 1
byzantine, 1












cancer, 9




capricious, 2









cash-strapped, 26
castigate, 2

casualty, 2


cataclysmic, 1

catastrophe, 3

catastrophic, 7




cautionary, 1





challenging, 15

chaotic, 1


chastisement, 1


cheap, 18

cheaply, 1
cheat, 2


cheating, 2






chill, 2






chronic, 6



clash, 2






cloud, 9
clouding, 1





cocky, 1



cold, 21

collapse, 10

collusion, 7
combative, 1







complain, 13
complained, 22
complaining, 5
complains, 2
complaint, 93
complaints, 11
complex, 50
complicated, 32
complication, 2



concede, 2
conceded, 16




concern, 115
concerned, 95
concerns, 163
concession, 9
concessions, 3


condemnation, 4
condemned, 7





confess, 3


confined, 6
conflict, 49
conflicted, 4
conflicting, 13
conflicts, 25



confront, 7
confrontation, 1
confrontational, 1
confuse, 4
confused, 20
confuses, 2
confusing, 23
confusion, 10

congested, 2
congestion, 43
cons, 2

conservative, 14
conspicuous, 1


conspiracy, 5



consternation, 2


contaminated, 7


contamination, 6




contend, 18
contention, 8
contentious, 3


contradict, 2
contradiction, 1
contradictory, 1




controversial, 18
controversy, 5
convoluted, 2




corrupt, 1
corrupted, 1
corrupting, 1
corruption, 5


costlier, 1
costly, 26







crack, 5
cracked, 3
cracks, 12







crap, 2
crappy, 1

crash, 10
crashed, 2

crashing, 2




crazily, 1

crazy, 9





creeping, 2




criminal, 23



cripple, 1
crippled, 1

crippling, 4
crisis, 319
critic, 3
critical, 121
criticism, 25
criticisms, 2
criticize, 1
criticized, 27
criticizing, 4
critics, 47


crooked, 3

crowded, 1

crude, 174
cruel, 1

cruelest, 1





crumbling, 2




crush, 5
crushed, 2
crushing, 1
cry, 9

culprit, 1
cumbersome, 3



curse, 7
cursed, 1
curses, 1
curt, 75
cuss, 1

cutthroat, 1
cynical, 1


damage, 32
damaged, 6
damages, 38
damaging, 4
damn, 6



damned, 1


danger, 16
dangerous, 7

dark, 39
darken, 5
darkened, 5

darkness, 12








dead, 17

deadlock, 3
deadly, 5

deaf, 2
dearth, 2
death, 28
debacle, 3










debt, 152
debts, 35
















decline, 33
declines, 9
declining, 9

decrepit, 2






defect, 2
defective, 10
defects, 1
defensive, 2
defiance, 1


deficiencies, 2
deficiency, 12






defunct, 2















delay, 63
delayed, 28
delaying, 13
delays, 19






deluge, 2

delusional, 1



demise, 3











denial, 6
denied, 44
denies, 9

denounce, 1
dense, 2
dent, 4





deny, 25
denying, 5











depressed, 1
depressing, 3

depression, 5

deprive, 1
deprived, 11







desert, 6







despair, 3


desperate, 7
desperately, 10
desperation, 3

















destroy, 41

destruction, 10
destructive, 1


deteriorate, 1
deteriorating, 4
deterioration, 11







detract, 1




detriment, 1
detrimental, 4

devastated, 2

devastating, 3


deviate, 1
deviation, 1
devil, 7







devoid, 2



diametrically, 1

diatribe, 2

dick, 32


die, 5
die-hard, 1
died, 8
dies, 2
difficult, 125
difficulties, 14
difficulty, 23


dilemma, 2

dim, 4





dire, 14






dirty, 10

disabled, 2

disadvantage, 2
disadvantaged, 1

disadvantages, 2



disagree, 6


disagreed, 5
disagreeing, 6
disagreement, 3
disagrees, 7





disappointed, 10
disappointing, 1

disappointment, 3







disarray, 1
disaster, 8

disastrous, 3
disastrously, 1


disbelief, 2










disconcerting, 1




discontent, 2


discontinued, 1

discontinuous, 1




discourage, 14

discouraging, 5




discredit, 2

discriminate, 1
discrimination, 9
discriminatory, 8





disgrace, 1




disgruntled, 5
disgust, 4
disgusted, 1



disgusting, 1


disheartening, 2

dishonest, 2









disinclination, 1
















dismal, 1


dismay, 1
dismayed, 2








disorder, 1














displace, 1


displeased, 1





dispute, 82
disputed, 7




disregard, 25



disrespect, 1






disrupt, 7
disruption, 10
disruptive, 1


dissappointed, 1










dissension, 5
dissent, 2
dissenter, 1

disservice, 1


















distorted, 4




distraction, 1




distressed, 5


distrust, 1



disturbance, 2
disturbed, 7
disturbing, 2



divergent, 1
divisive, 2




dizzy, 1









doom, 4
doomed, 1


doubt, 40
doubtful, 2

doubts, 18





downer, 4


downgrade, 9


downhill, 1
downside, 10

downturn, 5
downturns, 1



drag, 6
dragged, 5
dragging, 7

drags, 3
drain, 14

draining, 6
drains, 3
drastic, 1
drastically, 1

drawbacks, 4




dreary, 1

dripping, 2

drips, 2







drought, 9

drunk, 4


dubious, 2





dumb, 9

dump, 8
dumped, 2
dumping, 1
dumps, 1



dupe, 1
dust, 3

dwindling, 1
dying, 8










egregious, 1


elimination, 10


embarrass, 3
embarrassing, 2

embarrassment, 5
embattled, 2



emergency, 160

emphatically, 1


encroachment, 9
endanger, 1
enemies, 3
enemy, 2




enjoin, 3














erase, 1
erode, 1

erosion, 2


erratic, 1

erroneous, 2
erroneously, 3
error, 52
errors, 25



estranged, 1



evil, 6



exacerbate, 9










excessive, 19
excessively, 9
exclusion, 4



excuse, 4
excuses, 2

exhaust, 4
exhausted, 5
exhaustion, 1




exorbitant, 6



expensive, 57
expire, 15
expired, 7
explode, 1
exploit, 9

explosive, 1







extort, 1
extortion, 2
extraneous, 1




extremist, 2







fail, 31
failed, 78
failing, 20
fails, 24
failure, 85
failures, 7



fake, 1
fall, 124




fallacy, 1
fallen, 33
falling, 25
fallout, 4
falls, 34
false, 8




faltered, 1



















fat, 7


fatal, 26


fatally, 2








fatty, 1



fault, 4

faulty, 3

faze, 1
fear, 41


fears, 19







fell, 36






feverish, 1

fiasco, 2



fiction, 3






fierce, 1





fissures, 1








flak, 1





flare, 1





flaw, 13
flawed, 17
flaws, 11
flee, 1

fleeing, 3





flickering, 4

flighty, 1






floundering, 3





foolhardy, 1
foolish, 5



forbidden, 3




forfeit, 6









foul, 2





fragile, 5
fragmented, 1

frantic, 4
frantically, 1

fraud, 11
fraudulent, 2



freak, 1
freaking, 1



freeze, 37
freezes, 1
freezing, 2



frenzy, 2






friggin, 1



frightening, 1




frost, 7

froze, 1
frozen, 25



frustrated, 15

frustrating, 5

frustration, 7
frustrations, 2
fuck, 7
fucking, 4







fundamentalism, 1
funky, 1

funny, 17








futile, 1

futility, 1
fuzzy, 1





gall, 1





garbage, 1




















gimmicky, 1





glitches, 2

gloom, 3
gloomy, 2



gnawing, 1






gossip, 1









greed, 3
greedy, 2

grievance, 2





grim, 6

grind, 1
gripe, 1
gripes, 1

gritty, 1
gross, 31
grossly, 7





growl, 3






gruff, 1









guilty, 3



hack, 1








hamper, 1

handicapped, 2
hang, 14
hangs, 2




harassed, 1

harassment, 4

harbors, 2
hard, 217
hard-hit, 1


hardball, 3
harden, 3






hardships, 8
harm, 17
harmed, 2
harmful, 3
harms, 1





harshly, 1

hassle, 5

hassles, 2
haste, 3

hasty, 1
hate, 15






hates, 1

hatred, 1




havoc, 6
hawkish, 2
haywire, 1
hazard, 4
hazardous, 2

hazy, 1

headache, 2






heavy-handed, 1

heck, 11



hectic, 4
hedge, 58


hefty, 6




hell, 15




helplessly, 1




hesitant, 9




high-priced, 6

hinder, 1
hindrance, 1







hogs, 4
hollow, 2


hooligan, 1
hopeless, 1
hopelessly, 1




horrible, 3

horrific, 1





hostage, 4
hostile, 8

hostility, 1







humid, 1
humiliate, 1


humming, 1
hung, 15
hurt, 27


hurting, 11
hurts, 6

hype, 1




hypocritical, 1

hysteria, 2

hysterical, 3




idiot, 1


idiots, 1
idle, 5




ignorance, 2

ignore, 25
ill-advised, 3
ill-conceived, 6


ill-fated, 2










illegal, 14
illegally, 3




illogic, 1


illusion, 1



imbalance, 51










immoral, 2

immorally, 3

impair, 1


impatience, 2
impatient, 3



impede, 4
impediment, 3
impending, 4






imperil, 1














implication, 3






impose, 43

imposing, 10
imposition, 5
impossible, 19


impotent, 1


impractical, 1





imprisonment, 2

